Student_ID,Name,Age,Gender,Department,Semester,City,State,Attendance_Percentage,Internal_Marks,External_Marks,CGPA,Placement_Status,Internship_Status,Skills,Project_Count,Family_Income,Scholarship_Status,Registration_Date,Total_Marks
STU1031,Vikram Verma,22.0,Female,CSE,1.0,Hyderabad,Maharashtra,49.97123889183616,29.43452337971585,39.7027628301319,7.921775880422642,Unplaced,In Progress,Java,2.0,188165.0,No,2022-02-03,69.13728620984776
STU1109,Arjun Joshi,19.0,Female,CSE,8.0, Mumbai ,Tamil Nadu,103.7104703080018,35.510440033596865,40.42323029838239,7.232735159068071,Not Eligible,Yes,SQL,4.0,32771.0,No,2022-07-02,75.93367033197926
STU1136,Neha Singh,18.0,Male,MECH,2.0, Pune,Delhi,92.8420573338696,20.12036640307278,47.09572519555491,8.096248308609116,Not Eligible,In Progress,"C++, Data Analysis",2.0,98183.0,No,2022-02-03,67.21609159862768
STU1088,Vikram Kumar,19.0,Male,EE,6.0,Hyderabad,Maharashtra,71.11436781268945,38.98142515386032,56.829586013705416,8.930048996528479,Unplaced,No,"Python, Java",2.0,84997.0,No,2021-02-13,95.81101116756574
STU1918,Sneha Nair,19.0,Female,CSE,1.0,chennai,Maharashtra,72.47784272122816,23.65515975200969,25.32039195629315,8.28931581138045,Not Eligible,In Progress,"Marketing, AutoCAD",1.0,124796.0,No,,48.975551708302845
STU1119,Kavya Das,21.0,Female,B.B.A,4.0,chennai,Maharashtra,90.75981594011418,29.549192814318296,26.427183388473807,7.547336457888887,Not Eligible,Yes,Marketing,1.0,66226.0,No,2023-10-19,55.9763762027921
STU1870,Sneha Singh,20.0,Female,CSE,7.0,chennai,Telangana,58.41442997271096,16.96054540926432,33.41486424869849,8.92631618770441,Not Eligible,Yes,Machine Learning,4.0,338139.0,No,2022-01-16,50.37540965796281
STU1318,Aditya Chawla,20.0,Male,MECHANICAL,8.0,Hyderabad,Gujarat,65.85731696761076,25.50095155678803,36.52690068830879,8.203085041397578,Placed,No,"Python, Data Analysis",0.0,481210.0,Pending,2020-05-05,62.02785224509682
STU1261,Amit Joshi,19.0,Female,MECH,2.0,Bangalore,Tamil Nadu,76.14008087118617,31.54993526116012,22.110610314384104,8.092385817171781,Placed,In Progress,Python,2.0,81540.0,No,2020-09-06,53.66054557554422
STU1535,Kavya Singh,20.0,Male,BBA,7.0,chennai,Delhi,51.07945399099807,27.62757613328205,49.88313068516116,6.185376733385326,Placed,No,"C++, Excel",1.0,66504.0,Yes,2023-07-23,77.51070681844321
STU1919,Aarav Sharma,20.0,Male,BUSINESS,5.0,Delhi,Maharashtra,67.91864133454308,30.032817748094587,26.349470534972383,7.416561256509277,Not Eligible,In Progress,C++,1.0,64191.0,No,2022-09-03,56.38228828306697
STU1596,Priya Patel,19.0,Male,MECH,2.0,chennai,Gujarat,84.28731391507796,18.065605431465805,56.73590168326232,10.31889094404091,Placed,Yes,Python,2.0,191291.0,Pending,2020-10-18,64.69850588020029
STU1076,Aditya Chawla,20.0,Female,CSE,2.0, Pune,Karnataka,51.65127152010373,21.319541618895784,29.986758109609205,8.37765630308999,Not Eligible,In Progress,Machine Learning,4.0,182776.0,No,2020-08-15,51.30629972850499
STU1107,Diya Das,20.0,Male,BBA,4.0,Bangalore,Gujarat,59.19876655239516,22.49513295711637,28.17793489857092,7.899129012389037,Placed,In Progress,"Data Analysis, Excel",1.0,30034.0,No,2021-10-04,50.67306785568729
STU1424,Vikram Reddy,20.0,Male,CSE,6.0,chennai,Maharashtra,59.327862089684494,33.58616956783174,39.32950296559987,7.405119189762533,Unplaced,In Progress,"C++, Data Analysis, Excel",2.0,480906.0,No,2022-11-24,64.59573680931207
STU1584,Arjun Chawla,20.0,Female,ME,5.0, Pune,West Bengal,81.4322475049586,24.759404707459176,46.473383404559925,7.289545852921571,Unplaced,Yes,"Data Analysis, SQL",4.0,276814.0,No,2020-05-24,84.45469864854277
STU1853,Diya Das,21.0,Female,MECH,8.0,chennai,Karnataka,88.78731260415002,12.847538104650091,40.74246754662936,8.316276250101154,Unplaced,In Progress,"C++, Data Analysis",0.0,191164.0,No,2023-02-02,53.59000565127945
STU1664,Sneha Rao,18.0,Other,B.B.A,2.0, Ahmedabad ,Delhi,94.45491819841664,15.377597672178425,41.773795505372846,7.780617630947518,Placed,No,SQL,3.0,98183.0,No,2021-12-31,64.69850588020029
STU1829,Neha Nair,19.0,Male,ELECTRICAL,4.0, Ahmedabad ,Karnataka,75.28274434417271,15.631672170767562,53.5658643228301,7.488853726118621,Placed,In Progress,"Data Analysis, AutoCAD",2.0,18963.0,Yes,2023-01-27,69.19753649359767
STU1420,Sneha Sharma,23.0,Female,CSE,5.0,Kolkata,Telangana,75.85519687345626,38.41272001325557,43.53408883932613,7.488853726118621,Unplaced,Yes,Data Analysis,1.0,146737.0,No,2022-08-04,81.94680885258171
STU1597,Neha Patel,18.0,Female,CSE,6.0,Kolkata,Maharashtra,75.85519687345626,21.053467597497367,45.99152187057199,6.640747876468992,Placed,No,C++,1.0,29448.0,No,2023-10-08,67.04498946806936
STU1458,Karan Sharma,19.0,Male,BBA,6.0, Ahmedabad ,Maharashtra,94.3462913112412,37.18261181443782,34.44298905364149,7.37478864841573,Unplaced,Yes,"Java, Excel",3.0,260032.0,No,2021-03-15,71.62560086807932
STU1005,Priya Chawla,21.0,Female,ME,5.0,Hyderabad,Telangana,95.8531132352597,36.00311063518001,52.58684018839957,9.502883430991597,Not Eligible,No,Excel,2.0,348000.0,No,2022-11-28,88.58995082357958
STU1649,Anjali Gupta,21.0,Female,CSE,8.0, Pune,Telangana,113.8434546302792,36.28958299426935,39.32950296559987,7.406123209129778,Unplaced,In Progress,"Data Analysis, Excel, SQL",1.0,65258.0,No,2022-05-13,67.6712384213467
STU1365,Diya Mehta,19.0,Other,ME,4.0,Kolkata,Gujarat,72.62205640459545,39.00536499397856,59.13419148227427,6.766337703133647,Unplaced,No,Communication,2.0,136075.0,No,2021-12-15,98.13955647625284
STU1321,Amit Sharma,20.0,Female,B.B.A,4.0,Delhi,Delhi,82.94539131535096,20.591511748009072,22.80432558565028,7.762240850893135,Placed,Yes,"C++, Python, Communication",3.0,19601.0,Yes,2023-09-15,43.39583733365935
STU1629,Priya Chawla,21.0,Female,EE,7.0,Kolkata,Tamil Nadu,87.79160512683329,36.45071835530524,52.49895284176687,5.335364648925163,Not Eligible,No,C++,3.0,45996.0,Pending,2022-05-22,88.9496711970721
STU1914,Neha Chawla,20.0,Male,BBA,1.0,Delhi,Delhi,75.85519687345626,29.078209804801325,59.86105235194477,7.488853726118621,Placed,In Progress,Communication,1.0,228384.0,No,2022-07-07,88.93926215674608
STU1468,Arjun Gupta,19.0,Female,BBA,7.0, Ahmedabad ,Karnataka,57.06175406947224,31.98097151770841,55.44344435254065,8.654384626886209,Placed,Yes,"C++, Data Analysis",6.0,284812.0,No,,87.42441587024906
STU1598,Vikram Verma,19.0,Male,CSE,2.0, Ahmedabad ,Delhi,75.31190561513112,36.86038267459508,24.13736459441933,7.000049633261445,Placed,No,AutoCAD,1.0,100509.0,No,2021-07-18,60.99774726901441
STU1394,Sneha Kumar,21.0,Female,BBA,3.0,Kolkata,Telangana,69.52017673031837,18.89679736617792,23.365106490375315,7.79145841578033,Not Eligible,Yes,"Data Analysis, C++",4.0,85878.0,Pending,2022-10-06,64.69850588020029
STU1536,Rohan Nair,18.0,Female,MECHANICAL,1.0,chennai,Karnataka,82.70400159854574,31.03418783252421,28.748555556261568,6.443095092476724,Placed,In Progress,Python,2.0,32073.0,No,2023-06-20,59.782743388785775
STU1720,Karan Mehta,20.0,Other,MECH,6.0, Pune,Delhi,82.69658697264124,28.85279369843761,52.5489337488891,7.553230557018728,Unplaced,Yes,Python,0.0,95300.0,No,2021-03-18,81.4017274473267
